223101290,Data Structures,91
223101291,Algorithms,92
223101292,Mathematics,3.8
223101293,Computer Networks,3.9
223101294,Operating Systems,3.7
223101295,Software Engineering,3.8
223101296,Database Systems,3.6
223101297,Digital Logic,3.5
223101298,Theory of Computation,3.9
223101299,Compiler Design,3.7
223101300,Computer Architecture,3.6
223101301,Artificial Intelligence,3.9
223101302,Machine Learning,3.5
223101303,Computer Graphics,3.8
223101304,Web Development,3.6
223101305,Cloud Computing,3.7
223101306,Computer Security,3.8
223101307,Mobile App Development,3.9
223101308,Data Analysis,3.6
223101309,Human-Computer Interaction,3.5
223101310,Information Retrieval,3.8
